Restaurant,Cousines,Rating,Rating_counts,Delivery_rating,Delivery_rating_counts,Area,Adress,Price_for_2,1st_time_open,1st_time_close,2nd_time_open,2nd_time_close,week
Jassi De Parathe,North Indian,4.7,1634.0,4.2,18500.0,Alkapuri,"R.C Dutt Road, Near Kalaniketan, Alkapuri, Vadodara",600,2020-10-15 11:00:00,2020-10-15 23:30:00,,,Mon-Sun)
Marwari Food Corner,"North Indian, Rajasthani, Fast Food, Chinese",4.3,1505.0,3.8,29200.0,Karelibaug,"Shop No. 21 & 22 Ratri-bazaar, Mangal Pandey Rd, Karelibaugh, Karelibagh, Vadodara, Gujarat 390002",250,2020-10-15 16:00:00,2020-10-15 02:00:00,,,Mon-Sun)
KFC,"Burger, Fast Food, Finger Food, Beverages",4.2,1003.0,4.3,16800.0,Alkapuri,"19, Ground Floor, Vadodara Central Mall, Near Genda Circle, Wadi Road, Alkapuri, Vadodara",450,2020-10-15 13:00:00,2020-10-15 21:30:00,,,Mon-Sun)
Shree Kathiyawadi Khadki,"Gujarati, Desserts, Beverages",4.3,731.0,4.3,29200.0,Mandvi,"Navrang Cinema Road, Near Tower Four Ways, Raopura, Mandvi, Vadodara",300,2020-10-15 11:00:00,2020-10-15 15:30:00,2020-10-15 19:00:00,2020-10-15 23:00:00,Mon-Sun)
Yo Frankie,Fast Food,4.5,963.0,4.3,55400.0,Alkapuri,"Bombay Shopping Centre, RC Dutt Rd, Race Course, Vadiwadi, Vadodara, Gujarat",250,2020-10-15 09:00:00,2020-10-15 00:00:00,,,Mon-Sun)
Old School Eatery,"North Indian, Chinese, Street Food, Sandwich, South Indian, Desserts, Beverages",4.9,783.0,4.4,4809.0,Alkapuri,"17/B, Nutan Bharat Society, Opposite Relience Fresh, Alkapuri, Vadodara",900,2020-10-15 12:00:00,2020-10-15 15:00:00,2020-10-15 19:00:00,2020-10-15 23:00:00,Mon-Sun)
Tasty Vadapav,Street Food,4.6,993.0,4.4,33300.0,Nizampura,"1st Floor, Braj Complex, Nizampura Main Road, Opposite Ghelani Petrol Pump, Nizampura, Vadodara",150,2020-10-15 10:00:00,2020-10-15 21:00:00,,,Mon-Sun)
Ustaad Miyaan,North Indian,4.4,750.0,4.0,4855.0,Alkapuri,"13 Alkapuri shopping center, opposite vishwas colony, Alkapuri, vadodara, Alkapuri, Vadodara",600,2020-10-15 10:00:00,2020-10-15 02:00:00,,,Mon-Sun)
Munchane,"Pizza, Fast Food",,,3.9,27400.0,Alkapuri,"50, First Floor, Sampatrao Colony, Alkapuri, Vadodara",400,2020-10-15 00:00:00,,,,Mon-Sun)
Amritsari Kulcha,Street Food,4.6,846.0,4.3,9133.0,Nizampura,"02, Devdeep Complex, Near ICICI Bank, Nizampura Main Road, Nizampura, Vadodara",200,2020-10-15 11:00:00,2020-10-15 15:00:00,2020-10-15 19:00:00,2020-10-15 22:00:00,Mon-Sun)
22nd Parallel,South Indian,4.9,1080.0,4.2,13400.0,Alkapuri,"1st Floor, Tapan Complex, Besides M Cube Mall, Alkapuri, Vadodara",400,2020-10-15 08:00:00,2020-10-15 22:00:00,,,Mon-Sun)
Hariyali Restaurant,North Indian,4.4,818.0,4.3,17400.0,Kendranagar,"Vrundavan Heights, Near Parivar Char Rasta, Waghodia, Kendranagar, Vadodara",400,2020-10-15 11:00:00,2020-10-15 15:00:00,2020-10-15 18:00:00,2020-10-15 23:00:00,Mon-Sun)
La Pino'z Pizza,"Pizza, Italian, Fast Food, Desserts, Beverages",4.5,738.0,4.2,6408.0,Vadiwadi,"Shop 1-4, Arundeep Complex, Opposite Adarsh Hospital, Near Chakli Circle, Race Course Road, Vadiwadi, Vadodara",800,2020-10-15 11:00:00,2020-10-15 22:30:00,,,Mon-Sun)
Jagdish Foods Pvt. Ltd.,"Fast Food, Mithai",4.4,617.0,4.4,29700.0,Vadiwadi,"Sakar Complex, Malhar Point, Haribhakti Extension, Old Padra Road, Vadodara",200,2020-10-15 08:30:00,2020-10-15 21:30:00,,,Mon-Sun)
Domino's Pizza,"Pizza, Fast Food",4.2,845.0,4.3,8425.0,Kendranagar,"B-33, Ground Floor & 1st Floor, Uma Colony, Housing Society Limited, Waghodia Road, Kendranagar, Vadodara",400,2020-10-15 10:57:00,2020-10-15 23:00:00,,,Mon-Sun)
Meraki,"North Indian, Continental, Italian, Asian, Beverages, Desserts",4.4,1072.0,3.7,6697.0,Alkapuri,"F-39, 1st Floor, India Bull Mega Mall, Near Jetalpur Flyover Bridge, Alkapuri, Vadodara",700,2020-10-15 11:00:00,2020-10-15 23:00:00,,,Mon-Sun)
Lazzate Nayab,"North Indian, Mughlai, Biryani",4.1,381.0,3.9,13900.0,Akota,"Shop 29-32, Saptgiri Complex, Opposite Taj Residency, Padra Road, Akota, Vadodara",500,2020-10-15 11:00:00,2020-10-15 15:30:00,2020-10-15 17:30:00,2020-10-15 00:00:00,Mon-Sun)
Swad,"North Indian, Chinese",4.1,505.0,3.7,31400.0,Karelibaug,"G-3, Status Complex, Opposite Amrapali Complex, Karelibaug, Vadodara",250,2020-10-15 09:00:00,2020-10-15 16:00:00,,,Mon-Sun)
The Secret Kitchen,Modern Indian,4.3,738.0,4.6,271.0,Alkapuri,"201-203, The Emerald, Near Chakli Circle, Race Course, Alkapuri, Vadodara",1000,2020-10-15 12:30:00,2020-10-15 15:00:00,2020-10-15 19:00:00,2020-10-15 22:00:00,Mon-Sun)
Ajay Hotel,North Indian,4.3,691.0,4.1,23000.0,Makarpura,"Near ONGC, Makarpura, Vadodara",500,2020-10-15 11:30:00,2020-10-15 23:30:00,,,Mon-Sun)
21- A Rooftop Restaurant,"North Indian, Mughlai, Chinese",3.9,491.0,3.8,8732.0,Alkapuri,"Shagun Hotel, Opposite Circuit House, R.C Dutt Road, Alkapuri, Vadodara",800,2020-10-15 11:00:00,2020-10-15 15:00:00,2020-10-15 18:00:00,2020-10-15 23:00:00,Mon-Sun)
Pizza Da Dhaba,"Pizza, Fast Food",4.1,574.0,4.2,29000.0,Kendranagar,"Ground Floor, Kamal Plaza, Near Jasminee Mobile, Vrundavan, Waghodiya Road, Kendranagar, Vadodara",400,2020-10-15 08:00:00,2020-10-15 23:00:00,,,Mon-Sun)
Jay Mahakali Sev Usal,Fast Food,4.5,764.0,4.3,8843.0,Mandvi,"14 & 15, Prathmesh Plazza, Behind Nehru Bhavan, Near Kirti Stambh, Rajmahal Road, Mandvi, Vadodara",150,2020-10-15 08:30:00,2020-10-15 21:00:00,,,Mon-Sun)
Pizza Hut,"Pizza, Fast Food, Finger Food, American",4.0,755.0,3.8,7520.0,Vadiwadi,"51,Akashganga Complex,Race Course Road, Vadiwadi, Vadodara",600,2020-10-15 11:00:00,2020-10-15 23:00:00,,,Mon-Sun)
Bombay Sandwich,Sandwich,4.5,517.0,4.3,27500.0,Alkapuri,"B-4 Kamla Park, Opposite Dena Bank, Behind National Plaza, RC Dutt Road, Alkapuri, Vadodara",350,2020-10-15 11:00:00,2020-10-15 23:00:00,,,Mon-Sun)
Wok On Fire,"Chinese, Asian, Street Food",4.1,687.0,4.2,5219.0,Diwalipura,"1, Olive Complex, Old Padra Road, Opposite ABS Tower, Diwalipura, Vadodara",500,2020-10-15 12:00:00,2020-10-15 23:45:00,,,Mon-Sun)
Kansaar Gujarati Thali,Gujarati,4.2,450.0,3.6,9669.0,Sayajigunj,"101, Unique Trade Centre, Sayajigunj, Vadodara",500,2020-10-15 11:00:00,2020-10-15 15:15:00,2020-10-15 19:00:00,2020-10-15 22:15:00,Mon-Sun)
Foodies - The Food Court,"Chinese, Sandwich, North Indian, Italian, Beverages",3.9,290.0,3.8,14600.0,Karelibaug,"VIP Complex, Urjita Hospital, VIP Road, Karelibaug, Vadodara",350,2020-10-15 11:00:00,2020-10-15 23:00:00,,,Mon-Sun)
Vibes - The Bistro,"Mexican, Italian, Continental, Thai, Chinese",4.5,530.0,4.1,2057.0,Diwalipura,"GF 101, Aries Pavillion, Shobhnanagar Society, Vasna Road, Diwalipura, Vadodara",800,2020-10-15 09:00:00,2020-10-15 00:00:00,,,Mon-Sun)
Canara Coffee House,South Indian,4.4,593.0,3.8,13800.0,Mandvi,"Beside Premanand Hall, Opposite Lakdi Pool, Dandia Bazar, Mandvi, Vadodara",150,2020-10-15 07:00:00,2020-10-15 22:00:00,,,Mon-Sun)
Flavor Restaurant,"Gujarati, North Indian",4.2,507.0,4.0,15900.0,Alkapuri,"B1, Mangaldhara Complex, 83/Sampatrao Colony, Opposite Milton South Corner, Alkapuri, Vadodara",250,2020-10-15 11:00:00,2020-10-15 16:00:00,2020-10-15 19:00:00,2020-10-15 22:00:00,"Mon-Sat),Closed(Sun)"
Retro Bistro,"North Indian, Lebanese, Moroccan, Italian, Chinese, Continental, Mexican",4.5,626.0,3.9,1632.0,Vadiwadi,"The Emerald Building, Chakli Circle, Near BSNL Office, Vadiwadi, Vadodara",950,2020-10-15 11:30:00,2020-10-15 22:30:00,,,Mon-Sun)
Eggxotica,"North Indian, Chinese, Fast Food, Beverages",3.8,402.0,3.9,17400.0,Diwalipura,"Shagun Residency, Opposite Avishkar Complex, OP Road, Diwalipura, Vadodara",800,2020-10-15 08:00:00,2020-10-15 15:00:00,2020-10-15 18:00:00,2020-10-15 23:00:00,Mon-Sun)
Spicenation,"North Indian, Chinese, Continental",4.1,516.0,4.2,17600.0,Makarpura,"Opposite Bhavans School, Makarpura Road, Makarpura, Vadodara",800,2020-10-15 11:00:00,2020-10-15 15:00:00,2020-10-15 18:30:00,2020-10-15 22:30:00,Mon-Sun)
That Place,"Italian, Mexican, Continental",4.4,553.0,3.8,951.0,Alkapuri,"33, Sampatrao Colony, Alkapuri, Vadodara",1500,2020-10-15 11:00:00,2020-10-15 22:00:00,,,Mon-Sun)
After Hours,"North Indian, Chinese, Biryani, Desserts, Beverages",,,3.5,10700.0,Karelibaug,Delivery Only,350,2020-10-15 10:00:00,2020-10-15 04:00:00,,,Mon-Sun)
Thyme & Whisk,"Italian, Lebanese, Healthy Food, Mongolian",4.3,474.0,3.8,2249.0,Vadiwadi,"Shop 3, Ground Floor, Emerald Building, Chakli Circle, Race Course Road, Vadiwadi, Vadodara",1400,2020-10-15 11:00:00,2020-10-15 23:30:00,,,"Mon-Fri),11am–12midnight..."
Pizza On The Rock,"Pizza, Italian",4.5,602.0,4.1,3976.0,Diwalipura,"Maryland Complex, Opposite Gauri Sarees, Old Padra Road, Vadodara",500,2020-10-15 11:00:00,2020-10-15 23:30:00,,,Mon-Sun)
Sasumaa Gujarati Thali,Gujarati,4.4,590.0,3.8,2768.0,Alkapuri,"1/2, Ground Floor, Gokulesh Complex, Near Ivory Terrace, Alkapuri, Vadodara",500,2020-10-15 11:30:00,2020-10-15 15:30:00,2020-10-15 19:00:00,2020-10-15 22:30:00,Mon-Sun)
Santushti Shakes & More,"Beverages, Ice Cream",4.5,777.0,4.4,24200.0,Fatehgunj,"4, Ashok Apartments, Fatehgunj Main Road, Opposite Sadar Bazar, Fatehgunj, Vadodara",300,2020-10-15 10:00:00,2020-10-15 22:00:00,,,Mon-Sun)
Hungry Birds,"Biryani, Chinese, North Indian",4.0,484.0,4.0,13400.0,Karelibaug,"41/42, SB-11, Ground Floor, Amarpali Complex, Karelibaug, Vadodara",550,2020-10-15 10:00:00,2020-10-15 22:00:00,,,Mon-Sun)
Day Night Vada Pav & Dabeli,Fast Food,4.4,1193.0,4.3,26100.0,Kendranagar,Shop no.9 syam rasicum plazza near SBI Bank . parivar char rasta wagodiya road.vadodra.,200,2020-10-15 09:00:00,2020-10-15 22:00:00,,,Mon-Sun)
Amaya - Fern Residency Vadodara,"Fast Food, Bakery, North Indian",4.4,432.0,3.6,5255.0,Sayajigunj,"Near Central Bus Depot, Station Road, Sayajigunj, Vadodara",500,2020-10-15 08:00:00,2020-10-15 23:00:00,,,Mon-Sun)
Frigtemp,Fast Food,4.4,484.0,4.2,9586.0,Fatehgunj,"Dak Bungalow, Fatehgunj Main Road, Fatehgunj, Vadodara",300,2020-10-15 09:15:00,2020-10-15 23:00:00,,,Mon-Sun)
Saladific,"Healthy Food, Salad",4.2,587.0,4.1,11500.0,Alkapuri,"The Emerald, Near Chakli Circle, Alkapuri, Vadodara",550,2020-10-15 09:00:00,2020-10-15 01:00:00,,,Mon-Sun)
Raat Na Chataka,"North Indian, Biryani, Fast Food, Chinese, Pizza, Desserts, Beverages",3.8,338.0,3.4,11100.0,Karelibaug,"65, Buddhdev Colony, Near M.I.G Falt, Karelibaug, Vadodara",300,2020-10-15 08:00:00,2020-10-15 20:00:00,,,Mon-Sun)
Jashn-E-Paratha,"North Indian, Chinese",4.5,393.0,4.3,7049.0,Diwalipura,"8, Lions Hall Road, Haribhakti Extension, Krishna Society, Diwalipura, Vadodara",350,2020-10-15 10:00:00,2020-10-15 16:00:00,2020-10-15 18:00:00,2020-10-15 00:00:00,Mon-Sun)
Cafe Fitoor,"Cafe, North Indian, Italian",4.8,441.0,4.2,1210.0,Vadiwadi,"SB 1-3, Landmark Complex, Race Course Road, Vadiwadi, Vadodara",1000,2020-10-15 12:00:00,2020-10-15 15:00:00,2020-10-15 19:00:00,2020-10-15 22:30:00,"Mon),12noon–3pm,7pm–10:30pm(Tue-Sun)"
Gayatri Bhavan,"Gujarati, North Indian",3.1,274.0,3.9,14400.0,Sayajigunj,"Near Central Bus Station, Station Road, Sayajigunj, Vadodara",300,2020-10-15 08:00:00,2020-10-15 23:00:00,,,Mon-Sun)
Biryaniwala,"North Indian, Biryani",4.3,470.0,4.1,18700.0,Manjalpur,"10, Susen Tarsali Ring Road, Vihad Nagar, GIDC Industrial Area, Manjalpur, Vadodara",400,2020-10-15 10:00:00,2020-10-15 00:30:00,,,Mon-Sun)
Momoman,"Tibetan, Thai, Momos, Chinese",3.9,346.0,4.0,7826.0,Fatehgunj,"Shop 3, Royal Hub Complex, Near 7 Seas Mall, Fatehgunj, Vadodara",600,2020-10-15 11:00:00,2020-10-15 02:00:00,,,Mon-Sun)
Infi Pizzeria,Pizza,4.6,662.0,,,Gotri,"GF-9, Lotus Elite, Gotri-Sevasi Road, Gotri, Vadodara",400,2020-10-15 23:00:00,2020-10-15 12:00:00,,,"Mon),12noon–11pm(Tue-Sun)"
Keshav Restaurant,"North Indian, Gujarati",4.4,455.0,4.2,21600.0,Kendranagar,"Shantinagar Society, Beside Jasmine Mobile, Vrundavan Char Rasta, Waghodia Dabhoi Ring Road, Kendranagar, Vadodara",500,2020-10-15 11:00:00,2020-10-15 15:30:00,2020-10-15 18:00:00,2020-10-15 22:30:00,"Mon,Tue,Wed..."
Pepperazzi -The Diner,"North Indian, Italian, Mexican, Thai, Chinese",4.2,412.0,3.5,1767.0,Diwalipura,"207 Maryland Complex, Near Kapil Tower, OP Road, Diwalipura, Vadodara",900,2020-10-15 12:00:00,2020-10-15 23:00:00,,,Mon-Sun)
Bhagyodaya Restaurant,"North Indian, Biryani, Chinese, Beverages",4.3,425.0,4.2,19400.0,Fatehgunj,"Campus Corner, Narhari Hospital Circle, Fatehgunj, Vadodara",500,2020-10-15 11:00:00,2020-10-15 15:00:00,2020-10-15 19:00:00,2020-10-15 23:00:00,Mon-Sun)
Vishal Sandwich,Fast Food,4.5,544.0,4.4,7133.0,Alkapuri,"E11, Kashivishweshwar Township, Jetalpur Road, Vadodara",200,2020-10-15 10:00:00,2020-10-15 20:30:00,,,"Mon-Sat),Closed(Sun)"
Snappy Pizza,"Pizza, Fast Food",4.5,417.0,4.0,12400.0,Akota,"Shop G01, India Bulls Mega Mall, Old Ambica Mill Compound, Near Dinesh Mill, Akota Road, Vadodara, Akota, Vadodara",300,2020-10-15 09:00:00,2020-10-15 22:30:00,,,Mon-Sun)
The Cafe Baraco,"Cafe, Mexican, Italian, Continental, Chinese",4.0,520.0,3.1,741.0,Alkapuri,"6, The Emerald, Race Course, Near Chakli Circle, Alkapuri, Vadodara",500,2020-10-15 11:00:00,2020-10-15 00:30:00,,,Mon-Sun)
Mr Toasties,"Cafe, Italian, Fast Food, Beverages, Desserts",3.9,394.0,3.8,11900.0,Vadiwadi,"2/8, MIG Flats, Opposite Indraprastha Complex, Near LG Showroom, Inox Road, Ellora Park, Vadiwadi, Vadodara",800,2020-10-15 12:00:00,2020-10-15 00:00:00,,,Mon-Sun)
Tomato's,"North Indian, Mughlai, Mexican, Thai",4.3,640.0,4.2,709.0,Alkapuri,"1st Floor, Aditi Plaza, Race Course Road, Beside IDBI Bank, Alkapuri, Vadodara",1200,2020-10-15 12:30:00,2020-10-15 15:00:00,2020-10-15 19:00:00,2020-10-15 23:00:00,Mon-Sun)
Coffee Culture,"Cafe, Coffee, Continental, Italian",3.9,613.0,3.5,1179.0,Vadiwadi,"1-8, Opposite INOX Multiplex, Sharnam Fortune, Ellorapark, Vadiwadi, Vadodara",600,2020-10-15 11:00:00,2020-10-15 00:00:00,,,Mon-Sun)
Tea Villa Café,"Fast Food, Tea, Cafe, Italian",4.4,653.0,4.1,1059.0,Subhanpura,"Atlantis Heights, Near Genda Circle, Subhanpura, Vadodara",1000,2020-10-15 09:00:00,2020-10-15 02:00:00,,,Mon-Sun)
Cafe Madrid,Cafe,4.2,461.0,,,Diwalipura,"Club Madrid, Madrid County, Bhayli Vasna Road, Near Swaminarayan Temple, Bhayli Road, Diwalipura, Vadodara",600,2020-10-15 13:00:00,2020-10-15 23:00:00,,,Mon-Sun)
The Dhaba,North Indian,4.7,555.0,3.7,3904.0,Alkapuri,"1, Savoy Complex 63, Ground Floor, Haribhakti Extension, Old Padra Road, Alkapuri, Vadodara",500,2020-10-15 12:00:00,2020-10-15 15:00:00,2020-10-15 19:00:00,2020-10-15 23:00:00,Mon-Sun)
Barbeque Nation,"Mughlai, North Indian",4.7,449.0,3.9,41.0,Vadiwadi,"3rd Floor, Cine Mall, Near Natubhai Circle, Race Course Road, Vadiwadi, Vadodara, Gujarat",1500,2020-10-15 12:00:00,2020-10-15 15:00:00,2020-10-15 19:00:00,2020-10-15 23:00:00,Mon-Sun)
La Benito,"Italian, Mexican, Continental, Lebanese, Beverages",4.4,382.0,4.2,923.0,Vadiwadi,"1st Floor, Shantanam, Opposite Yes Bank, Inox Road, Race course",1000,2020-10-15 11:00:00,2020-10-15 15:00:00,2020-10-15 18:30:00,2020-10-15 22:30:00,Mon-Sun)
Nukkad Pe,"Cafe, Fast Food",4.2,381.0,4.1,2117.0,Akota,Nukkadpe  Opp akota dmart Akota road  Vadodara,300,2020-10-15 09:30:00,2020-10-15 00:00:00,,,Mon-Sun)
Spice Cottage,"North Indian, Chinese, Street Food",,,4.1,14200.0,Gorwa,"Khodabhai Patel Farm, Near Fatima Park, Gorwa, Vadodara",400,2020-10-15 18:30:00,2020-10-15 00:00:00,,,Mon-Sun)
The Belgian Waffle Co.,"Desserts, Ice Cream, Fast Food",4.4,484.0,4.3,5698.0,Vadiwadi,"31, Race Course Road, Arundeep Complex, Haribhakti Extension, Abhishek Colony, Vadiwadi, Vadodara",300,2020-10-15 11:00:00,2020-10-15 21:00:00,,,Mon-Sun)
Biryaniz,"Biryani, North Indian, Chinese, Rolls, Beverages",4.0,345.0,3.6,14700.0,Vadiwadi,"Shop 7, Ground Floor, Indraprastha Complex, Opposite Vegetable Market, Inox Road, Ellora Park, Vadiwadi, Vadodara",600,2020-10-15 10:30:00,2020-10-15 22:30:00,,,Mon-Sun)
Havmor Restaurant,"North Indian, Chinese, Fast Food",4.4,504.0,4.1,2628.0,Sayajigunj,"Yash Kamal Building, Sayajigunj, Vadodara",1200,2020-10-15 12:00:00,2020-10-15 23:00:00,,,Mon-Sun)
Dawat Pure Veg Restaurant,"North Indian, Chinese, South Indian",4.0,415.0,4.1,6456.0,Manjalpur,"Opposite Shreyesh Vidhyalay, Manjalpur, Vadodara",600,2020-10-15 11:00:00,2020-10-15 15:30:00,2020-10-15 18:30:00,2020-10-15 22:30:00,Mon-Sun)
Italian Affair,Italian,4.5,410.0,3.5,648.0,Alkapuri,"36, Alkapuri Society, Behind HDFC Bank, Alkapuri, Vadodara",1000,2020-10-15 12:00:00,2020-10-15 15:00:00,2020-10-15 19:00:00,2020-10-15 23:00:00,Mon-Sun)
Behrouz Biryani,"Biryani, North Indian, Mughlai",,,4.1,5875.0,Subhanpura,Delivery Only,700,2020-10-15 10:00:00,2020-10-15 01:00:00,,,Mon-Sun)
Stuff's Food,North Indian,4.4,416.0,4.2,4052.0,Karelibaug,"Bricklane Mall, Opposite Ratri Bazaar, Karelibaug, Vadodara",400,2020-10-15 11:30:00,2020-10-15 15:30:00,2020-10-15 19:00:00,2020-10-15 23:00:00,Mon-Sun)
Mirch Masala,North Indian,4.3,447.0,4.1,4147.0,Alkapuri,"Meghdhanush Complex, Gotri Road, Near Race Course Circle, Alkapuri, Vadodara",800,2020-10-15 12:00:00,2020-10-15 15:00:00,2020-10-15 19:00:00,2020-10-15 22:45:00,Mon-Sun)
Mainland China,"Chinese, Asian, Sushi, Momos, Japanese, Thai",4.2,371.0,4.1,1070.0,Alkapuri,"Second Floor, Bell-E-Vista Complex, Chakli Circle, Race Course, Opposite GST Bhavan, Above RADO Showroom, Alkapuri, Vadodara",1400,2020-10-15 12:00:00,2020-10-15 15:30:00,2020-10-15 19:00:00,2020-10-15 22:00:00,Mon-Sun)
Pirates of Paneer,"North Indian, Chinese",,,3.5,5392.0,Vadiwadi,Delivery Only,600,2020-10-15 18:00:00,2020-10-15 03:00:00,,,Mon-Sun)
Offside Lounge,"North Indian, Chinese, Continental, Pizza",4.2,449.0,3.6,1191.0,Vadiwadi,"1st Floor, Kanchanganga Apartments, Near Bird Circle, Race Course Road, Vadiwadi, Vadodara",800,2020-10-15 12:00:00,2020-10-15 15:00:00,2020-10-15 18:00:00,2020-10-15 23:00:00,Mon-Sun)
Baroda Sandwich,"Sandwich, Pizza, Fast Food",3.8,362.0,4.2,17100.0,Karelibaug,"Near Bright Day School, Vir Nagar Society, VIP Road, Karelibaug, Vadodara",350,2020-10-15 11:00:00,2020-10-15 00:00:00,,,Mon-Sun)
Hariyali Gujrati Thali & Banquet,Gujarati,4.1,358.0,4.2,13000.0,Kendranagar,"Vrundavan Heights, Near Parivar Char Rasta, Waghodia, Kendranagar, Vadodara",500,2020-10-15 11:00:00,2020-10-15 15:00:00,2020-10-15 19:00:00,2020-10-15 22:30:00,Mon-Sun)
The Spot,Fast Food,4.3,468.0,4.4,6463.0,Mandvi,"1, Bhandra Kacheri Road, Syedwada, Chhipwad, Mandvi, Vadodara",250,2020-10-15 11:00:00,2020-10-15 23:00:00,,,"Mon,Tue,Wed,Thu,Sat,Sun),2:30pm..."
Mummys Pizza,"Italian, Pizza, Fast Food",4.2,575.0,3.4,2441.0,Sayajigunj,"101, Above Samarat Super Store, Opposite Orbit Hotel, Under Jetalpur Bridge, Sayajigunj, Vadodara",500,2020-10-15 08:00:00,2020-10-15 00:30:00,,,Mon-Sun)
Sainath Fast Food,Fast Food,4.3,337.0,4.2,5192.0,Sayajigunj,"4/5, Dhanvantri Complex, Opposite Sardar Patel Statue, Dairy Den Circle, Sayajigunj, Vadodara",150,2020-10-15 10:00:00,2020-10-15 23:30:00,,,Mon-Sun)
Kali Mirch Cafe And Restaurant,"North Indian, Seafood, Lucknowi",4.4,402.0,4.1,6721.0,Fatehgunj,"Manu Smriti Complex, Near Navrachna School, GIPCL Circle, Karelibaug, Fatehgunj, Vadodara",600,2020-10-15 10:30:00,2020-10-15 15:00:00,2020-10-15 18:00:00,2020-10-15 23:00:00,Mon-Sun)
New Freeze Land,"Wraps, Sandwich, Fast Food, Street Food, Finger Food, Pizza, Beverages",4.2,291.0,4.0,6935.0,Diwalipura,"GF 2, Sampat Square, Opposite R.K.Plaza, New Court Road, Diwalipura, Vadodara",600,2020-10-15 11:00:00,2020-10-15 23:00:00,,,Mon-Sun)
Alif Peri Peri Chicken,North Indian,4.1,318.0,4.0,5726.0,Diwalipura,"Shop S1, Royal Green, Near Basil School, Tandalja Road, Diwalipura, Vadodara",400,2020-10-15 11:00:00,2020-10-15 01:00:00,,,Mon-Sun)
The Blue Oven,"Pizza, Italian",4.3,266.0,3.9,1468.0,Vadiwadi,"Near Natubhai Circle, Race Course Road, Vadiwadi, Vadodara",600,2020-10-15 11:00:00,2020-10-15 23:00:00,,,Mon-Sun)
Gayatri Bhavan,"North Indian, Gujarati",3.8,162.0,3.3,10700.0,Alkapuri,"Depo Road, Central Lodge, Opposite Railway Station, Alkapuri, Vadodara",300,2020-10-15 09:00:00,2020-10-15 00:00:00,,,Mon-Sun)
Bhai Bhai Dabeliwala (Panigate Wala),"Gujarati, Fast Food",,,4.3,10900.0,Mandvi,"B-10, Sahajanand Apartment, Ayurvedic 3 Rasta, Outside Panigate, Mandvi, Vadodara",150,2020-10-15 09:30:00,2020-10-15 18:00:00,,,Mon-Sun)
AB's - Absolute Barbecue,"European, Mediterranean, North Indian",4.5,619.0,,,Vadiwadi,"3rd Floor, Monalisa Centrum, Race Course Rd, Hari Nagar, Vadiwadi, Vadodara",1200,2020-10-15 11:30:00,2020-10-15 15:30:00,2020-10-15 18:00:00,2020-10-15 22:00:00,Mon-Sun)
Status Restaurant & Banquet,"Chinese, North Indian, Italian, Mexican",4.1,282.0,3.7,5825.0,Diwalipura,"10, Ground Floor, Urban One Complex, Near Panchmukhi Hanumaanji Temple, Vasna-Bhayli, Diwalipura, Vadodara",500,2020-10-15 12:00:00,2020-10-15 15:00:00,2020-10-15 17:00:00,2020-10-15 22:30:00,Mon-Sun)
Le Privé,"North Indian, Chinese, Italian, Bakery",4.7,295.0,4.4,1056.0,Alkapuri,"17/B, 1st Floor, Nutan Bharat Society, Opposite Relience Fresh, Alkapuri, Vadodara",1100,2020-10-15 12:00:00,2020-10-15 15:00:00,2020-10-15 19:00:00,2020-10-15 23:00:00,Mon-Sun)
Cafe Appetito,Fast Food,4.1,220.0,4.1,4933.0,Diwalipura,"Gajanad Complex, Old Padra Road, Diwalipura, Vadodara",400,2020-10-15 11:00:00,2020-10-15 23:00:00,,,Mon-Sun)
Faasos,"Fast Food, North Indian, Biryani, Rolls, Wraps",,,3.9,8144.0,Vadiwadi,"Shop 1 - 2, Patriot Complex, Inox Road, Vadiwadi, Vadodara",300,2020-10-15 08:00:00,2020-10-15 01:00:00,,,Mon-Sun)
Wat A Burger - India Ka Burger,"Burger, Fast Food, Beverages, Sandwich, Wraps",4.1,279.0,4.1,6960.0,Diwalipura,"Shop 1 Ground Floor, Sampat Square, 17 Sampat Park, Near Utkarsh School, Opposite RK Plaza, Sainath Marg, Diwalipura, Vadodara",400,2020-10-15 11:00:00,2020-10-15 22:00:00,,,Mon-Sun)
Zesty Treat,"North Indian, Chinese",4.0,405.0,4.3,6172.0,Subhanpura,"1st Floor, S Square, Ellora Park, Subhanpura Main Road, Vadodara, Subhanpura, Vadodara",600,2020-10-15 11:00:00,2020-10-15 15:00:00,2020-10-15 19:00:00,2020-10-15 22:30:00,Mon-Sun)
Jay Ambe Smoothies & Shakes,"Beverages, Fast Food",4.4,469.0,4.1,5341.0,Akota,"Opposite Hotel Gateway, Akota, Vadodara",300,2020-10-15 08:00:00,2020-10-15 21:00:00,,,Mon-Sun)
La Belleza - The Cake Mall,Bakery,3.9,280.0,4.1,6535.0,Fatehgunj,"Ground Floor, Mahi Complex, Near Fatehgunj Petrol Pump, Fatehgunj, Vadodara",350,2020-10-15 09:30:00,2020-10-15 23:45:00,,,Mon-Sun)
Spice House,"Chinese, North Indian",4.2,377.0,4.1,18300.0,Kendranagar,"Shop 10, Paramanand Complex, Parivar Char Rasta, Waghodia Dabhoi Ring Road, Kendranagar, Vadodara",450,2020-10-15 11:30:00,2020-10-15 23:00:00,,,Mon-Sun)
