Restaurant,Cousines,Rating,Rating_counts,Delivery_rating,Delivery_rating_counts,Area,Adress,Price_for_2,1st_time_open,1st_time_close,2nd_time_open,2nd_time_close,week
Shree Rajubhai Panjabi Dhaba,North Indian,3.7,94.0,3.9,2408.0,Diwalipura,"Shop 15- 16, Mamta Shopping Centre, Opposite Meridian Hospital, Diwalipura, Vadodara",500,2020-10-15 11:00:00,2020-10-15 16:00:00,2020-10-15 19:00:00,2020-10-15 00:30:00,Mon-Sun)
Gateway All Day - The Gateway Hotel Vadodara,"Continental, European, North Indian, Chinese",4.2,124.0,,,Akota,"The Taj Gateway Hotel, Akota Gardens, Near Old Gym, Productivity Road, Sheetal Nagar, Akota, Vadodara",2500,2020-10-15 07:00:00,2020-10-15 10:30:00,2020-10-15 12:00:00,2020-10-15 15:00:00,Mon-Sun)
Pizzo Matic,Fast Food,,,4.3,2026.0,Akota,"GF-3, Giya Park Society, Sahajanand Road, Near Ward Number 06, Mujmahada Garden Road Side Munjmahuda, Vadodara",350,2020-10-15 19:00:00,2020-10-15 05:00:00,,,Mon-Sun)
Cafe Royal,"North Indian, Chinese, Street Food, Sandwich, Rolls",4.0,81.0,3.9,1348.0,Fatehgunj,"6, Ground Floor, Sai Vihar Apartments, Opposite Emperor Complex, Fatehgunj, Vadodara",500,2020-10-15 11:00:00,2020-10-15 21:30:00,,,Mon-Sun)
Urban Brewery,Cafe,3.7,67.0,3.9,47.0,Diwalipura,"4, Mangal Murti Society, Shakti Nagar, Saiyed Vasna, Diwalipura, Vadodara",500,2020-10-15 11:00:00,2020-10-15 23:00:00,,,Mon-Sun)
Amritsari Kulcha,"Fast Food, North Indian",3.2,95.0,3.7,2808.0,Gotri,"Opposite Signet Plaza, Kunal Char Rasta, Gotri, Vadodara",200,2020-10-15 19:00:00,2020-10-15 23:00:00,,,"Mon-Fri),12noon–3pm,7pm–11pm..."
De Courtyard,"North Indian, Italian, Chinese",3.8,61.0,4.0,327.0,Akota,"Pramukh Swami Park, Opposite Sandhesra Estate, Atladara, Near Akota, Vadodara",1000,2020-10-15 11:00:00,2020-10-15 15:00:00,2020-10-15 18:30:00,2020-10-15 23:00:00,Mon-Sun)
Egg 8,Fast Food,3.7,103.0,3.9,1611.0,Subhanpura,"D/301,vimalnath comlex Near Jain temple subhanpura, Vadodara",250,2020-10-15 11:00:00,2020-10-15 23:00:00,,,Mon-Sun)
Shree Maruti Restaurant & Banquets,"Gujarati, Rajasthani, North Indian",3.8,82.0,4.2,2746.0,Vadiwadi,"4A, Ajanta Society, Behind Trident Complex, Besides Central Bank, Ellora, Near Vadiwadi, Vadodara",600,2020-10-15 11:00:00,2020-10-15 15:00:00,2020-10-15 19:00:00,2020-10-15 23:00:00,Mon-Sun)
Stellar Kitchen,North Indian,3.8,112.0,4.4,356.0,Karelibaug,"Mahakali Mandir Compound, Near Airport Circle, New VIP Road, Karelibaug, Vadodara",900,2020-10-15 11:30:00,2020-10-15 15:00:00,2020-10-15 18:30:00,2020-10-15 23:00:00,Mon-Sun)
Kalaghoda- Effotel By Sayaji,"North Indian, Mughlai",3.9,88.0,,,Sayajigunj,"Effotel By Sayaji, Kalaghoda Circle, Sayajigunj, Vadodara",1000,2020-10-15 06:30:00,2020-10-15 23:00:00,,,Mon-Sun)
Bombay Sandwich Bites,Fast Food,4.0,161.0,,,Alkapuri,"SB-2, Centre Point, R.C. Dutt, Alkapuri, Vadodara",200,2020-10-15 09:00:00,2020-10-15 23:00:00,,,Mon-Sun)
Mahakali Sev Usal,Fast Food,3.5,79.0,4.0,4810.0,Manjalpur,"A/1, 4 Samanvay Saptarshi, Old More Mega Store, Manjalpur, Vadodara",100,2020-10-15 08:00:00,2020-10-15 22:00:00,,,Mon-Sun)
The Peri-Peri Club,"Portuguese, Continental",3.9,136.0,3.9,479.0,Diwalipura,"Ground Floor, Shop No 1-2, Blanca Complex, Opposite Rajlaxmi Society, Old Padra Road, Diwalipura, Vadodara",500,2020-10-15 11:00:00,2020-10-15 01:45:00,,,Mon-Sun)
Kaffeine Express,"Beverages, Fast Food",3.8,109.0,3.9,1665.0,Suryanagar,"10, Shreeji Villa Complex, Near D'Mart, Dabhoi Ring Road, Suryanagar, Vadodara",300,2020-10-15 11:00:00,2020-10-15 23:00:00,,,Mon-Sun)
Whatta Waffle!,"Desserts, Fast Food, Pizza, Mexican, Ice Cream, Beverages",4.4,128.0,4.3,1064.0,Alkapuri,"4, Meghdhanush Complex, Race Course Road, Near Mirch Masala Restaurant, Chakli Circle, Alkapuri, Vadodara",300,2020-10-15 11:00:00,2020-10-15 04:00:00,,,Mon-Sun)
Kalapi Sweet & Farsan,Mithai,,,4.4,4323.0,Kendranagar,"Vallabh Complex, Near Kaladarshan Char Rasta, Mahanagar Society, Kendranagar, Vadodara",300,2020-10-15 08:00:00,2020-10-15 21:00:00,,,Mon-Sun)
Assal Larilappa,"Ice Cream, Beverages",3.6,86.0,4.4,2768.0,Mandvi,"131, Padmavathi Shopping Complex, MG Road, Near Nyay Mandir, Bajwada, Mandvi, Vadodara",250,2020-10-15 10:00:00,2020-10-15 22:30:00,,,Mon-Sun)
Ziiro Restaurant & Cafe,"Fast Food, Beverages, Pizza, Sandwich",3.7,98.0,3.9,2050.0,Kendranagar,"Uma Char Rasta, Waghodia Road, Kendranagar, Vadodara",500,2020-10-15 09:20:00,2020-10-15 21:45:00,,,Mon-Sun)
Balli's Food Corner,"Chinese, Fast Food, North Indian",4.0,125.0,3.7,761.0,Diwalipura,"R K Plaza, Diwalipura, Sainath Marg, Diwalipura, Vadodara",350,2020-10-15 08:00:00,2020-10-15 22:00:00,,,Mon-Sun)
Only Parathas,"North Indian, Chinese, South Indian",,,3.9,4048.0,Alkapuri,"14, Sudha Nagar Society, Beside Gordhan Thal, Jetalpur Road, Alkapuri",600,2020-10-15 10:00:00,2020-10-15 02:00:00,,,Mon-Sun)
Cake Bakebon,Bakery,,,4.3,1084.0,Nizampura,Delivery Only,350,2020-10-15 00:00:00,2020-10-15 00:30:00,2020-10-15 09:30:00,2020-10-15 00:00:00,Mon-Sun)
Pizza Meo,Pizza,3.7,106.0,3.4,140.0,Sayajigunj,"Kalyan Hotel, Sayajigunj, Vadodara",400,2020-10-15 08:00:00,2020-10-15 21:30:00,,,Mon-Sun)
Cake Bonzer Bites,"Bakery, Desserts",,,4.1,2248.0,Alkapuri,"9, 1st Floor, Ankur Apartment, Jetalpur Road, Beside Trisha Gallery, Alkapuri, Vadodara",500,2020-10-15 08:00:00,2020-10-15 02:00:00,,,Mon-Sun)
Lazeez Shawarma,Lebanese,4.1,124.0,4.2,1387.0,Akota,"Opposite Taj Hotel, Productivity Road, Akota, Vadodara",200,2020-10-15 18:30:00,2020-10-15 23:00:00,,,Mon-Sun)
Cream & More,"Desserts, Ice Cream",3.7,91.0,4.3,516.0,Vadiwadi,"3, C.C Patel Square, Behind Trident Complex, Ellora Park, Vadiwadi, Vadodara",300,2020-10-15 11:00:00,2020-10-15 01:00:00,,,Mon-Sun)
Punjabi Junction,North Indian,3.6,66.0,3.7,914.0,Alkapuri,"Hotel GenX 7, Sampatrao Colony, Jetalpur Road, Alkapuri",700,2020-10-15 11:00:00,2020-10-15 23:00:00,,,Mon-Sun)
South Bombay,"South Indian, Juices, Beverages",3.7,64.0,3.8,1226.0,Subhanpura,"Shop 7, Inorbit Mall, 2nd Floor, Gorwa Road, Subhanpura, Vadodara",400,2020-10-15 12:00:00,2020-10-15 20:30:00,,,Mon-Sun)
Kalpit Chinese Food,"North Indian, Chinese",3.9,76.0,3.9,1089.0,Mandvi,"Bajwada, Khatriwad, Opposite Vee Lights, Bajwada Main Road, Mandvi, Vadodara",300,2020-10-15 08:00:00,2020-10-15 03:30:00,,,"Mon),8am–11:55pm(Tue-Fri),8am..."
Chhappanbhog Restaurant & Banquets,"Gujarati, North Indian, Pizza",3.5,83.0,3.8,402.0,Alkapuri,"88, Sampat Rao Colony, Productivity Road, Alkapuri, Vadodara",600,2020-10-15 11:00:00,2020-10-15 15:00:00,2020-10-15 19:00:00,2020-10-15 22:00:00,Mon-Sun)
Hunger’s Place,"Fast Food, Burger, Rolls",3.6,76.0,4.2,355.0,Subhanpura,"Gf-1 Ganga Jamuna Society, Near Jain derasar High Tension Road, Subhanpura, Vadodara",300,2020-10-15 17:30:00,2020-10-15 23:00:00,,,Mon-Sun)
Khana 24*7,"North Indian, South Indian, Chinese",2.8,54.0,4.0,2795.0,Akota,"Gajanan Complex, Old Padra Road, Opposite Tube Company, Sheetal Nagar, Akota, Vadodara",300,2020-10-15 08:00:00,2020-10-15 04:00:00,,,Mon-Sun)
Chatako Panipuri Cash'n'Carry & Fast Food,"Chinese, Fast Food, Street Food",3.9,51.0,4.2,1057.0,Subhanpura,"Behind Ellora Milk Centre, Ellora Park, Subhanpura, Vadodara",200,2020-10-15 10:00:00,2020-10-15 21:30:00,,,Mon-Sun)
Tarkari - A Banyan Paradise Kitchen,"North Indian, Chinese, Italian, Continental",3.9,67.0,3.2,31.0,Karelibaug,"Banyan Paradise Resort, Near Dumad Crossing, Vemali, Karelibaug, Vadodara",1000,2020-10-15 08:00:00,2020-10-15 00:00:00,,,Mon-Sun)
Shriji Farali Center,Healthy Food,3.9,178.0,,,Alkapuri,"Shop 8, Ground Floor, Dwarkesh Complex, RC Dutt Road, Alkapuri, Vadodara",150,2020-10-15 10:00:00,2020-10-15 22:00:00,,,Mon-Sun)
Patel Restaurant,"Gujarati, North Indian, Street Food",3.8,89.0,4.2,1538.0,Nizampura,"Shop 10, Natasha Shopping Centre, Nizampura Chhani Road, Opposite Sainik Chatralay, Nizampura, Vadodara",400,2020-10-15 11:00:00,2020-10-15 14:55:00,2020-10-15 18:30:00,2020-10-15 21:45:00,"Mon,Tue,Wed..."
Yours Deliciously,"Pizza, Chinese, Fast Food",4.0,91.0,4.2,270.0,Alkapuri,"E-1/110, Kashi Vishwesher Township, Jetal Pur Road, Alkapuri, Vadodara",300,2020-10-15 12:00:00,2020-10-15 15:00:00,2020-10-15 19:00:00,2020-10-15 00:45:00,"Mon,Tue,Thu,Fri..."
Maharashtra Boarding House,Maharashtrian,3.9,120.0,4.2,86.0,Mandvi,"Brahmpuri, Dandia Bazar, Dandiyabajar, Vadodara",400,2020-10-15 11:00:00,2020-10-15 23:00:00,,,Mon-Sun)
Honeybee Cake Shop,Bakery,,,4.3,373.0,Fatehgunj,"Shop 1, Popular Building, Old, RTO Road, Warasiya, Fatehgunj, Vadodara",600,2020-10-15 11:00:00,2020-10-15 22:00:00,,,Mon-Sun)
The Grand Chef (TGC),"North Indian, Chinese, Continental, Mexican",3.8,60.0,3.9,344.0,Diwalipura,"Basement 6, Opposite Relience Mall, Near Akshar Chowk, Old Padra Road, Diwalipura, Vadodara",600,2020-10-15 11:00:00,2020-10-15 23:00:00,,,Mon-Sun)
The Cake Alchemist,"Bakery, Desserts",,,4.3,163.0,Diwalipura,"2, Krishna Park, Makrand Desai Road, Near Tribhauvan Park, Gotri Vasna Road, Vadodara",400,2020-10-15 11:00:00,2020-10-15 23:30:00,,,Mon-Sun)
City South Corner,South Indian,4.0,105.0,4.3,755.0,Karelibaug,"S-16, Mahalaxmi Complex, Karelibaug, Vadodara",300,2020-10-15 19:00:00,2020-10-15 23:00:00,,,Mon-Sun)
Mayur Fafda Wala,"Street Food, Mithai",3.8,108.0,4.5,937.0,Nizampura,"26/2, Devdeep Complex, Near Axis Bank, Mehsana Nagar Circle, Nizampura, Vadodara",100,2020-10-15 07:00:00,2020-10-15 14:00:00,,,Mon-Sun)
Maharashtrian Kitchen,Maharashtrian,,,3.6,787.0,Sayajigunj,"A FF-105, Samanvay Silicon, Opposite Kalyan Hotel, Sayajigunj, Vadodara",300,2020-10-15 11:00:00,2020-10-15 00:00:00,,,Mon-Sun)
JSK Amritsari Kulcha & Stuffed Parathas,North Indian,3.9,78.0,,,Sama,"Opposite Food Homes Supermarket, Sama-Savli Road, Sama, Vadodara",300,2020-10-15 11:30:00,2020-10-15 15:00:00,2020-10-15 18:30:00,2020-10-15 23:00:00,Mon-Sun)
Saideep Dabeli Corner,Street Food,3.9,79.0,4.4,2701.0,Karelibaug,"Subhash Park, Arth Complex, Sangam Char Rasta, Karelibaug, Vadodara",100,2020-10-15 10:00:00,2020-10-15 20:00:00,,,Mon-Sun)
Maji Sainik Egg Zone,Street Food,3.8,79.0,3.9,2935.0,Diwalipura,"6, Ground Floor, Shyamal Complex, Opposite Gulab Vatika, Tandalja, O.P Road, Diwalipura, Vadodara",150,2020-10-15 11:00:00,2020-10-15 04:00:00,,,Mon-Sun)
Allied Confectionery,Desserts,,,4.3,142.0,Manjalpur,"Manjalpur, Vadodara",300,2020-10-15 10:00:00,2020-10-15 00:00:00,,,Mon-Sun)
Kutchi Food Hub,"Fast Food, North Indian, Gujarati",3.7,71.0,4.3,1249.0,Manjalpur,"Shop 11, Sunrise Complex, Opposite Ambe School, Darbar Chokadi, Vadsar Bridge Road, Manjalpur, Vadodara",150,2020-10-15 11:00:00,2020-10-15 21:30:00,,,Mon-Sun)
