Restaurant,Cousines,Rating,Rating_counts,Delivery_rating,Delivery_rating_counts,Area,Adress,Price_for_2,Open_time
Legacies Of Punjab,North Indian,3.7,(321),4.1,(646),Alkapuri,"1, Ground Floor, PTSI Building, Near Genda Circle, Alkapuri, Vadodara",₹700,"12noon – 3pm, 7pm – 11pm (Mon-Sun)"
What The Feast!,"North Indian, Chinese",,,3.9,(10.5K Reviews),Diwalipura,"146 & 147, Paris Nagar Society, Gadapura, Diwalipura, Vadodara",₹200,"12midnight – 3am, 11am – 3pm, 7pm – 12midnight..."
Humptee Dumptee,"North Indian, Chinese",4.2,(192),4.2,"(9,075)",Gotri,"120 & 121, First Floor, Lotus Elite, Opposite Satyanarayan Farm, Gotri Road,near Jagdish Farshan Gotri, Vadodara",₹350,"11am – 3pm, 6pm – 12:30am (Mon-Sun)"
Real Punjabi,"North Indian, Chinese",,,3.8,(11.9K Reviews),Nizampura,"Devdeep Complex, Nizampura, Vadodara",₹300,11am – 11pm (Mon-Sun)
Shree Krishna Restaurant,Street Food,3.9,(169),4.3,"(4,073)",Akota,"GF-2, Silver House Complex, Rockstar Circle, Opposite GEB School, Akota-Dmart Road, Vadodara",₹250,"8am – 8:30pm (Mon, Tue, Thu, Fri, Sat, Sun)..."
Awesome!,"North Indian, Fast Food",,,4.1,"(4,114 Reviews)",Subhanpura,"21, Ground Floor, Viswmohini Complex, Subhanpura, Vadodara",₹300,11am – 4am (Mon-Sun)
Silver Restaurant,"North Indian, Chinese",4.2,(288),4.4,"(5,226)",Manjalpur,"Silver Coine Complex, Opposite Bhavan School, Teen Rasta, Manjalpur, Vadodara",₹600,"11am – 3pm, 6pm – 10:30pm (Mon-Sun)"
Red Dot Nation,"North Indian, Biryani, Chinese, Desserts, Beverages",3.8,(219),4.0,"(6,717)",Suryanagar,"Vinyak Heights, Beside Bharat Petrol Pump, Waghodia Dabhoi Ring Road, Suryanagar",₹600,"11:30am – 3pm, 7pm – 11pm (Mon-Sun)"
Cafe Appetito,"Fast Food, Beverages",3.6,(255),4.2,(536),Fatehgunj,"Shop 10, Saffron Complex, Fatehgunj, Vadodara",₹550,11am – 11pm (Mon-Sun)
Cafe Appetito,"Fast Food, Beverages",3.6,(255),4.2,(536),Fatehgunj,"Shop 10, Saffron Complex, Fatehgunj, Vadodara",₹550,11am – 11pm (Mon-Sun)
Coffee Clan,"Cafe, Fast Food",4.0,(182),4.3,(298),Akota,"4&5, Shivang Complex, Malhar Point Lane, Opposite Gails Ground, Punit Nagar, Akota, Vadodara",₹400,11am – 11pm (Mon-Sun)
Azure - Grand Mercure Vadodara Surya Palace,"North Indian, Chinese, Continental, Thai",4.3,(257),3.2,(105),Sayajigunj,"Surya Palace Hotel, Opposite Parsi Agrayi, Sayajigunj, Vadodara","₹1,200","7:30am – 10am, 12:30pm – 3pm, 7:30pm – 11pm..."
Lazeez,"Mughlai, North Indian",3.9,(256),4.1,(986),Alkapuri,"B-1/234, Alkapuri Vishal Chamber, Vishwas Colony, Alkapuri, Vadodara",₹600,"12noon – 3pm, 7pm – 10:45pm (Mon-Sun)"
Anmol Catering & Events,"North Indian, Chinese",,,4.0,(10.7K Reviews),Sayajipura,"C-18, Road 1, Sardar Estate, Ajwa Road, Sayajipura, Vadodara",₹350,"11am – 3:30pm, 6:15pm – 10:30pm (Mon-Sun)"
My Recipe,"North Indian, Chinese",3.7,(226),4.0,(10.5K),Kendranagar,"Shop 5, 6 & 7, Shreeji Villa Complex, Near D Mart, Shivam Crossing, Waghodia Road, Kendranagar, Vadodara",₹450,11am – 10pm (Mon-Sun)
Mehfil Restaurant,"North Indian, Mughlai, Chinese",3.7,(211),3.7,"(4,883)",Akota,"Ground Floor Dulabhai Complex, Akota Bridge Char Rasta, Akota, Vadodara",₹600,"11am – 3pm, 6:30pm – 12midnight (Mon-Sun)"
Tasty Vada Pav,Street Food,4.2,(463 Reviews),,,Fatehgunj,"Beside Anjali Memorial Hospital, Fatehgunj, Vadodara",₹150,10am – 9pm (Mon-Sun)
Rule The Rolls,"Rolls, Mughlai, Burger",4.2,(313),4.1,"(1,513)",Diwalipura,"GF-5, 1st Floor, Siddharth Upscale, Opposite White House, Binanagar Vasna Road, Diwalipura, Vadodara",₹300,12noon – 12midnight (Mon-Sun)
Edison's Experiments With Milk,Beverages,4.0,(173),4.2,(963),Diwalipura,"Shop 6, Shipra Complex, Old Padra Road, Near Marvans, Diwalipura, Vadodara",₹300,9am – 2am (Mon-Sun)
The Offshore Lounge,"Cafe, Fast Food, Desserts",4.0,(153),3.9,"(1,754)",Sama,"A4/103, Anand Vihar Flats, B/H Kailashdham Society, Opp. Ramdev Hardware. Nr. Abhilasha Char Rasta, New Sama Road, Vadodara",₹400,11am – 11:30pm (Mon-Sun)
Carryout Restaurant,"North Indian, Chinese, Biryani",,,3.8,"(5,262 Reviews)",Subhanpura,"Shop F-6, First Floor, S Square Mall, Subhanpura Main Road, Subhanpura, Vadodara",₹200,11am – 12midnight (Mon-Sun)
Times Cafe,Cafe,3.9,(151),4.3,(404),Fatehgunj,"Times Square Building, Harshadrai Mehta Marg, Fatehgunj, Vadodara",₹200,9am – 11:10pm (Mon-Sun)
Al Makka Restaurant,"North Indian, Mughlai",3.7,(149),3.6,"(6,535)",Diwalipura,"Near JP Police Station Char Rasta, Opposite Patrakar Colony, Tandalja, Diwalipura, Vadodara",₹450,10am – 11:30pm (Mon-Sun)
Raju Omlet,Fast Food,4.0,(238),4.4,"(3,615)",Karelibaug,"Mahalaxmi Apartment, Opposite B O B, Karoli Bag, Karelibaug, Vadodara",₹300,8am – 12midnight (Mon-Sun)
Zaafran,North Indian,3.9,(189),3.9,"(3,031)",Fatehgunj,"Ground Floor, Amaan Tower, Beside Check Mate, Fatehgunj, Vadodara",₹700,11am – 10pm (Mon-Sun)
Juvenas Bakery,"Bakery, Desserts",4.6,(202 Reviews),,,Vadiwadi,"3rd Floor ,Shaalin Apartments, 52, Hari Bhakti Colony Near Baroda Heart Hospital, Vadiwadi, Vadodara",₹400,"9:30am – 6:30pm (Mon, Wed, Thu, Fri, Sat, Sun)..."
Monika Pizza,Fast Food,,,4.4,"(5,659 Reviews)",Kendranagar,"Waghodiya, Kendranagar, Vadodara",₹250,11am – 11pm (Mon-Sun)
Jagdish Farshan Pvt. Ltd.,"Mithai, Gujarati",4.1,(260),4.4,"(9,786)",Karelibaug,"A-151, Shri Krishna Kunj Society-2,  New VIP Road, Vadodara, 320022",₹300,8am – 10pm (Mon-Sun)
Pinnacle Food Court,"North Indian, Biryani",3.9,(211),3.7,"(8,288)",Makarpura,"G 11, Amrapali Complex, Air Force Road, Makarpura GIDC, Makarpura, Vadodara",₹250,9am – 11pm (Mon-Sun)
Wooddy Jhone’s Pizza,"Pizza, Fast Food",3.2,(245),3.5,"(3,723)",Akota,"1 & 2, Earth Complex, Beside Hyundai Showroom, Old Padra Road, Punit Nagar, Akota, Vadodara",₹500,9am – 12midnight (Mon-Sun)
Messy Bowl - Maggevala,"Street Food, Fast Food",3.8,(207),3.4,"(1,156)",Fatehgunj,"Fatehgunj Main Road, Fatehgunj, Vadodara",₹150,10am – 10pm (Mon-Sun)
Sai Krupa Punjabi Khana,"North Indian, Chinese",4.1,(138),4.0,"(2,624)",Karelibaug,"5023-5024, Vaikunth 2 Shopping Center, Khodiyar Nagar Char Rasta, New VIP Road, Karelibaug, Vadodara",₹400,11am – 11pm (Mon-Sun)
Punjabi Corner,North Indian,4.1,(135),3.9,"(7,143)",Akota,"1, Berry's Corner, Opposite Radha Krishna Society, P F Office Road, Akota, Vadodara",₹300,"11am – 3pm, 5:30pm – 10:30pm (Mon-Sun)"
Aavkar Restaurant,"North Indian, Fast Food, Chinese",3.9,(208),4.0,"(7,540)",Manjalpur,"6 Shantinagar,Opp. Pinnacle Business Centre, Tulsitham,Manjalpur,Vadodara.",₹250,11am – 11pm (Mon-Sun)
Elysian: The Middle-Eastern,"North Indian, Awadhi, Lucknowi, Mughlai, Arabian, Turkish, Afghan",3.9,(221),4.1,(682),Vadiwadi,"FF 108, Golden Icon, Opposite BSNL, Chakli Circle, Vasiwadi, Vadodara","₹2,000","11am – 3pm, 7pm – 11pm (Mon-Sun)"
Wok My Way,"Chinese, Thai",4.0,(156),3.5,"(2,407)",Alkapuri,"1/1, Vishwas Colony, Alkapuri Shopping Centre, Alkapuri, Vadodara",₹650,11am – 11pm (Mon-Sun)
China Town Chinese Food,Chinese,3.4,(119),3.7,"(6,641)",Diwalipura,"Opposite Sarkari Nursing College, Diwalipura, Vadodara",₹200,4:30pm – 11:30pm (Mon-Sun)
Mahesh Omlet Egg Restaurant,Street Food,4.0,(222),4.1,(12.8K),Suryanagar,"GF-23/24, Venu Tower, Vrundavan Heights, Near Essar Pump, Parivar Char Rasta, Waghodia-Dabhoi Ring Road, Suryanagar, Vadodara",₹200,11am – 11pm (Mon-Sun)
Marhaba Restaurant,"Biryani, Chinese",4.0,(211),4.0,"(1,069)",Karelibaug,"Near Sharda Mandir School, Machhipith Naka, Salatwada Road, Karelibaug, Vadodara",₹800,1pm – 11pm (Mon-Sun)
Keshav Kutir Restaurant,North Indian,4.0,(213),4.3,"(8,934)",Suryanagar,"B-16, Parichay Park, Opposite Rajiv Gandhi Swimming Pool, Waghodia Road, Suryanagar, Vadodara",₹400,5pm – 10:30pm (Mon-Sun)
Dosa Wala,South Indian,4.1,(205),3.7,"(7,680)",Akota,"2, Welcome Flat, Dinesh Mill Road, Near Varaimata Mandir, Akota, Vadodara",₹200,"8am – 2pm, 6pm – 11pm (Mon-Sun)"
Chula Dosa,"South Indian, Chinese",4.0,(218),3.9,"(6,061)",Manjalpur,"B-20, Dhanlaxmi Complex, Near Saraswati Complex, Manjalpur, Vadodara",₹300,8am – 11pm (Mon-Sun)
Orizon Restaurant,"North Indian, Chinese",3.9,(321),4.2,"(6,251)",Akota,"Near Krishna Shanti Society, Mujmahuda Road, Akota, Vadodara",₹700,"11am – 3:30pm, 6:30pm – 11pm (Mon-Sun)"
Club Offshore,"Cafe, Chinese, Fast Food",3.9,(146),4.4,(380),Diwalipura,"143, Suryakiran Complex, Old Padra Road, Sukrutinagar, Opposite Avishkar Complex, Diwalipura, Vadodara",₹600,11am – 11pm (Mon-Sun)
Olives Pizza & Sizzlers,Italian,2.8,(186),3.5,(619),Alkapuri,"104, Emerald, Race Course Circle, Alkapuri, Vadodara",₹800,11am – 11pm (Mon-Sun)
Night 2 Night,North Indian,,,3.9,"(6,017 Reviews)",Karelibaug,"1,B Nanjibhai Chember, Bahucharaji Road, Karelibaug, Vadodara",₹300,7pm – 4am (Mon-Sun)
Ghani Khamma,"Rajasthani, North Indian, Mughlai",4.1,(252),3.9,(47),Alkapuri,"FF- 4/5/6, CAPRY HOUSE-2, SUDHANAGAR JETALPUR ROAD, VADODARA- 390007",₹900,"12noon – 2:30pm, 7pm – 9:30pm (Mon-Sun)"
Gazebo Garden Restaurant,North Indian,4.0,(214 Reviews),,,Panchvati,"Opposite FGI, Near Iscon Harmony, Sevasi-Bhimpura Road, Near Panchvati, Vadodara","₹1,000",7pm – 1am (Mon-Sun)
Ready Platter,"Chinese, North Indian",,,3.9,"(6,183 Reviews)",Diwalipura,"Shop 1, Trinity Complex, Opposite Vasna Jakatnaka, Vasna Bhayli Main Road, Diwalipura, Vadodara",₹300,"11am – 3pm, 6:30pm – 11pm (Mon-Sun)"
Chatkazz,"Fast Food, North Indian",3.7,(145),4.2,"(6,273)",Manjalpur,"15/G, Sun Plaza 1, Near Vadsar Bridge, Manjalpur, Vadodara",₹300,"10am – 10:30pm (Mon, Tue, Wed, Fri), 11am –..."
Octant Pizza,"Italian, Pizza",3.5,(211),3.8,"(1,715)",Diwalipura,"Golden Nest, Opposite Shobhna Nagar, Diwalipura, Vadodara",₹700,11am – 11pm (Mon-Sun)
Juggernaut,"North Indian, Mediterranean, Continental, Italian",4.2,(182),4.1,(120),Bhayli,"Near Vihaan Hospital, Vasna-Bhayili Road, Bhayli, Vadodara",₹600,12noon – 10:45pm (Mon-Sun)
Aroma Delicacy,North Indian,4.2,(246),4.1,"(8,184)",Diwalipura,"GF-20, Earth Artica, Vasna Bhayil Road, Diwalipura, Vadodara",₹300,"11am – 3pm, 7pm – 11pm (Mon-Sun)"
Sardar Pav Bhaji & Punjabi Khana,North Indian,4.0,(182),3.8,"(8,896)",Karelibaug,"Amardeep Heritage, Ajwaroad, Karelibaug, Vadodara",₹300,"11am – 4pm, 6pm – 12midnight (Mon-Sun)"
Farki,"Ice Cream, Desserts",4.2,(360),3.9,(47),Karelibaug,"GF, Opposite Vuda Builduing, Besides Dwarkesh Hospital, Karelibaug, Vadodara",₹200,11am – 10:30pm (Mon-Sun)
Biryani aur Baatein,"Biryani, Mughlai, Chinese",3.9,(180),3.8,"(3,460)",Alkapuri,"Shop 14, Atlantis K-10, A Wing, Genda Circle Road, Alkapuri, Vadodara",₹500,"11:30am – 3:30pm, 7:30pm – 1am (Mon-Sun)"
Geeta lodge,"Gujarati, Street Food",4.1,(227),4.3,"(1,602)",Alkapuri,"Shop 11, Ground Floor, Atlantis K-10, Tower A, Opposite Vadodara Central Mall, Sarabhai Road, Genda Circle, Alkapuri, Vadodara",₹250,"10:30am – 3:30pm, 6pm – 8:30pm (Mon-Sun)"
Spicy Restaurant,North Indian,3.6,(134),4.1,"(4,818)",Karelibaug,"Shree Krishna Apartment, Near Bank Of Baroda, Sangam Char Rasta, Karelibaug, Vadodara",₹300,11am – 10:30pm (Mon-Sun)
Mishri Sweets,"Mishti, Street Food",4.0,(174),4.4,"(9,065)",Diwalipura,"Shop 1 & 2, Earth Complex, Akshar Chowk, Diwalipura, Vadodara",₹200,9am – 9pm (Mon-Sun)
Apsara Ice Creams,"Ice Cream, Desserts",4.3,(233),4.5,"(1,403)",Vadiwadi,"Shop 2, Ajanta Society, Leader House, Behind Trident Complex, Ellora Park, Vadiwadi, Vadodara",₹200,12:30pm – 12midnight (Mon-Sun)
La Pizza Treno,"Pizza, Italian",3.4,(250),3.5,(607),Alkapuri,"2nd Floor, Race Course Road, Above Bata Showroom, Alkapuri, Vadodara",₹800,11am – 11pm (Mon-Sun)
Hilton China,Chinese,3.9,(201),3.8,"(6,902)",Manjalpur,"3rd Floor, Food Court, Eva Mall, Manjalpur, Vadodara",₹400,11am – 10:30pm (Mon-Sun)
The Kitchen Express,Mughlai,3.9,(132),3.8,"(4,308)",Sayajipura,"8, Silver Point, Ajwa Road, Near IOCL Petrol Pump, Sayajipura, Vadodara",₹300,11:30am – 2:30am (Mon-Sun)
Arabian Grill,"Arabian, Mughlai",4.1,(189),3.9,"(2,385)",Diwalipura,"Shop 18, Fazila Avenue, Vasna Tandalja Road, Diwalipura, Vadodara",₹500,4pm – 11pm (Mon-Sun)
Baroda Sandwich,Sandwich,3.8,(193),3.9,(12.1K),Manjalpur,"1, Bhagirath Complex, Darbar Chowkdi, Manjalpur, Vadodara",₹200,10am – 8pm (Mon-Sun)
The Hunger Box,"North Indian, Fast Food",3.6,(114),3.9,"(3,345)",Alkapuri,"3, Tower 1, Kashivishveshwar Complex, Jetalpur Road, Alkapuri, Vadodara",₹500,"10:15am – 3:30pm, 6pm – 10:30pm (Mon-Sun)"
Gordhan Thal,Gujarati,4.1,(220),4.1,"(1,520)",Alkapuri,"Dreamland Building, Jetalpur Road, Alkapuri, Vadodara",₹600,"11:30am – 3:30pm, 7:30pm – 10:30pm (Mon-Sun)"
Real Kathiyawadi Restaurant,"Chinese, Gujarati, North Indian",4.0,(179),4.1,"(6,081)",Sayajipura,"E-11, Sardar Estate, Sayaji Park Society, New VIP Ring Road, Sayajipura, Vadodara",₹300,"11am – 3pm, 6:45pm – 11pm (Mon-Sun)"
Bhai Bhai Dabeli,Gujarati,4.1,(194),4.4,"(3,606)",Karelibaug,"Shop 6 & 7, Charbhuja Complex, Near Petrol Pump, Ambalal Park, Pani Tanki Road, Karelibaug, Vadodara",₹150,12noon – 10pm (Mon-Sun)
Once More-Bombay Sandwich,Fast Food,3.6,(108),4.2,"(3,659)",Alkapuri,"SB/6, Center Point, Alkapuri, Vadodara",₹250,8:30am – 9:30pm (Mon-Sun)
Shagun Hotel,"North Indian, Mughlai, Chinese, Fast Food",3.5,(100),4.1,"(9,335)",Alkapuri,"Offtel Towers, RC Dutt Road, Opposite Circuit House, Alkapuri, Vadodara",₹600,"11am – 3pm, 6pm – 11pm (Mon-Sun)"
The Cravings Restaurant,"North Indian, Fast Food, Continental, Chinese, Thai, Asian, Seafood",4.1,(132 Reviews),,,"Sayaji Hotel, Sayajiganj","Near Bhimnath Bridge, Opposite Parsi Agryari, Sayajigunj, Vadodara","₹1,500","7am – 10:30am, 12:30pm – 3:30pm, 7pm – 11pm..."
Da Pizza Planet,Pizza,3.8,(156),3.6,"(4,065)",Diwalipura,"Ground Floor,  Ojus Avenue, Vasna - Bhayli Road, Diwalipura, Vadodara",₹600,11am – 11pm (Mon-Sun)
Soul Brew Coffee,Cafe,3.9,(186 Reviews),,,Vadiwadi,"Arundeep Complex, Race Course Circle, Vadiwadi, Vadodara",₹500,10am – 12midnight (Mon-Sun)
New Sonu Punjabi,North Indian,3.8,(194),3.2,"(5,945)",Mandvi,"Laxmi Nivas, Near Ideal Coaching Classes, Babaji Pura Dandiya Bazar, Mandvi, Vadodara",₹250,"11am – 4am (Mon, Wed, Thu, Fri, Sat, Sun), 8am –..."
Foodista Restaurant,North Indian,4.2,(308 Reviews),,,Gorwa,"30, Gorwa Road, Jai Jalaram Nagar, Ajay Nagar, Undera, Vadodara",₹700,"11:30am – 3:30pm, 6:30pm – 10:30pm (Mon-Sun)"
Shree Radhika Restaurant,"North Indian, South Indian",3.2,(110),3.4,"(4,637)",Vadiwadi,"1/3, C.C Patel Square, Ellora Park, Vadiwadi, Vadodara",₹500,11am – 11pm (Mon-Sun)
Grill Kitchen,"Italian, Mexican",3.8,(144),3.5,(35),Vadiwadi,"3rd Floor, CC Patel Square, Behind Trident Complex, Vadiwadi, Vadodara",₹800,"12noon – 3pm, 7pm – 11pm (Mon-Fri),12noon –..."
Jashan,"Awadhi, North Indian, Chinese, Mughlai, Biryani, Italian, Ice Cream, Beverages",4.0,(179),3.8,(643),"Lilleria Food Court, Vadiwadi","1st FLoor, Lilleria Food Court, Near Natu Bhai Circle, Vadiwadi, Vadodara","₹1,000",12noon – 11pm (Mon-Sun)
Frankiee Junction,"Fast Food, Pizza, Burger, Sandwich",3.2,(108),3.7,"(3,915)",Alkapuri,"E/5, Ground Floor, Tower 2, Kashivishweshvar Complex, Jetalpur Road, Alkapuri, Vadodara",₹200,10am – 11pm (Mon-Sun)
Pizza Bell,"Pizza, Italian, Fast Food",4.0,(188),4.3,"(1,032)",Alkapuri,"Jetalpur Road, Alkapuri, Vadodara",₹900,10:30am – 10:30pm (Mon-Sun)
0265 Burgers & Pizzas,"Fast Food, Burger, Pizza",4.2,(167),4.0,(601),Alkapuri,"Shop 17, Alkapuri Shopping Centre, Vishwas Colony, Alkapuri, Vadodara",₹300,3:30pm – 10:45pm (Mon-Sun)
Al Madina,Mughlai,4.0,(244),4.1,"(2,436)",Diwalipura,"11, Patrakar Colony, Tandalja, Diwalipura, Vadodara",₹600,11am – 11pm (Mon-Sun)
Yes Frankie,"Fast Food, Rolls",4.0,(207),4.0,"(5,668)",Subhanpura,"Cash and Carry Building, Near Ellora Park Milk Center, Subhanpura, Vadodara",₹200,11am – 10:30pm (Mon-Sun)
Yes Frankie,"Fast Food, Rolls",4.0,(207),4.0,"(5,668)",Subhanpura,"Cash and Carry Building, Near Ellora Park Milk Center, Subhanpura, Vadodara",₹200,11am – 10:30pm (Mon-Sun)
Rangoli Restaurant,"North Indian, Chinese, Seafood",3.7,(190),4.2,"(1,381)",Fatehgunj,"Fatehgunj Main Road, Near Red Church, Fatehgunj, Vadodara",₹800,12noon – 7pm (Mon-Sun)
Shree Vadlo Kathiyawadi Thali,Gujarati,4.0,(148),3.7,"(3,683)",Sama,"1st Floor, Sukan Hub, Sama Savli Road, Sama Road, Vadodara",₹400,"11am – 3pm, 7pm – 10:45pm (Mon-Sun)"
Delicacy Restaurant & Banquet,"Chinese, North Indian",4.0,(185),4.0,"(1,658)",Diwalipura,"1st Floor, Siddharth Upscale, Opposite Bina Nagar, Vasana Road, Diwalipura, Vadodara",₹500,"11am – 3pm, 7pm – 10:30pm (Mon-Sun)"
New Bombay Vadapav,Fast Food,,,4.1,"(3,379 Reviews)",Alkapuri,"E-20, Kashivishweshwar Township, Jetalpur Road, Chikuwadi, Alkapuri, Vadodara",₹100,10am – 8:30pm (Mon-Sun)
Honest,"North Indian, Fast Food, Chinese, Pizza",2.6,(241),4.2,"(3,413)",Alkapuri,"Beside Vadodara Central Mall, Alkapuri, Vadodara",₹300,11am – 12midnight (Mon-Sun)
Hyderabadi's,"Mughlai, Biryani",3.8,(171),3.6,(474),Fatehgunj,"4, Shreyas Apartments, Near Akash Medical, Fatehgunj, Vadodara",₹500,11:30am – 10:30pm (Mon-Sun)
Aamhi Marathi,"Maharashtrian, Malwani",3.8,(165),4.0,"(2,268)",Manjalpur,"2nd Floor, Sairutu Complex, Near Tulsidham Cross Road, Manjalpur, Vadodara","₹1,200","8am – 11pm (Mon),11am – 3pm, 7pm – 11pm (Tue-Sun)"
Zeste - The Fern,"North Indian, Continental",4.1,(175),4.5,(252),Akota,"B/H Dinesh Mills Ltd, Akota, Vadodara","₹1,200","11am – 3pm, 7pm – 10:30pm (Mon-Sun)"
Sankalp,"South Indian, Beverages",4.0,(221),3.9,"(1,111)",Vadiwadi,"101/102, Spentha Complex, Opposite Axis Bank, Race Course Road, Vadiwadi, Vadodara",₹750,11am – 11pm (Mon-Sun)
Shyam Sundar Restaurant,"North Indian, Chinese, South Indian",3.9,(133),3.9,"(9,772)",Karelibaug,"Gf15, sai complex, opposite upwan heritage, khodiyarnagar, Vadodara",₹400,"11am – 5pm, 6pm – 1am (Mon-Sun)"
Curry Country BBQ,"Mughlai, North Indian, Chinese, Italian",,,3.6,"(1,956 Reviews)",Diwalipura,"FF 101, Ojas Avenue, Vasna Jakat Naka, Vasna Road, Diwalipura, Vadodara",₹500,"12noon – 3pm, 6:30pm – 11pm (Mon, Tue, Wed, Fri..."
Pizzini Pizza,Pizza,3.7,(224),4.0,"(4,932)",Kendranagar,"1st Floor, Vrundavan Heights, Near Parivar Char Rasta, Waghodia, Kendranagar, Vadodara",₹500,11am – 11pm (Mon-Sun)
Salad Republic,"Healthy Food, Continental, Salad",4.0,(118),4.3,"(2,143)",Diwalipura,"12, Rk Plaza, Near New Court, Sainath Marg, Diwalipura, Vadodara",₹400,7am – 11pm (Mon-Sun)
Udupi Restaurant,"South Indian, North Indian, Chinese",4.0,(184),4.0,"(1,107)",Fatehgunj,"Mangal Kirti Apartment, Ground Floor, Fatehgunj, Vadodara",₹400,7am – 10pm (Mon-Sun)
Aamantran,Gujarati,3.8,(185),4.2,"(2,386)",Alkapuri,"38, Sampatrao Colony, Alkapuri, Vadodara",₹500,"11am – 3pm, 7pm – 10:30pm (Mon-Sun)"
Sarvottam Restaurant,"North Indian, Fast Food",3.8,(194),4.1,"(2,269)",Nizampura,"Daksha Colony Road, Nizampura, Vadodara",₹600,11am – 10pm (Mon-Sun)
Rajasthan Ice Cream and Kulfi,"Ice Cream, Beverages",3.8,(170),4.1,"(8,393)",Subhanpura,"33, Bajrang Society, Opposite Sitaram Complex, Subhanpura, Vadodara",₹150,11am – 7pm (Mon-Sun)
Hungry Birds - Express,"North Indian, Fast Food",4.1,(203),3.8,"(3,650)",Subhanpura,"S Square Mall, Ellora Park, Subhanpura Main Road, Subhanpura, Vadodara",₹550,11am – 11pm (Mon-Sun)
Shree Raj Rajeshwari Juice & Ice-cream,"Juices, Ice Cream",4.2,(221),4.2,"(1,694)",Fatehgunj,"21, Eastern Society, Fatehgunj Main Road, Fatehgunj, Vadodara",₹250,9:30am – 12midnight (Mon-Sun)
Ramdev's Khana Khazana,"North Indian, Chinese",3.8,(120),3.9,"(3,568)",Subhanpura,"C/82, Ground Floor, Maa Ashapuri Hub, Near Bharucha Hospital, Opposite Jeevan Jyot Children Hospital, Subhanpura, Vadodara",₹300,11am – 10:30pm (Mon-Sun)
Velvet Bakers,"Cafe, Fast Food, Coffee, Pizza, Beverages",3.6,(126),3.4,(749),Alkapuri,"31, Chandralok Society, Dr Rustom Cama Marg, Near Maruti Courier, Alkapuri, Vadodara",₹500,11am – 11pm (Mon-Sun)
Gaylord Tea  Coffee Snacks,South Indian,4.0,(192),3.7,"(4,748)",Sayajigunj,"Opposite Railway Station, Sayajigunj, Vadodara",₹200,5am – 12midnight (Mon-Sun)
ANNAPURNA CORNER,Fast Food,3.9,(174),4.0,"(3,453)",Makarpura,"Susen, Tarsali Ring Road, Makarpura, Vadodara",₹400,10am – 10pm (Mon-Sun)
Chaa Ne Lari,"Cafe, Fast Food",3.7,(105),3.8,"(4,430)",Alkapuri,"Opposite Rajkot Nagrik Sahkari Bank, Back side Basement, Near Reliance Fresh, CH Jewelers Road, Alkapuri, vadodara",₹200,7am – 11:30pm (Mon-Sun)
Real Paprika,"Pizza, Fast Food, Chinese",3.7,(153),3.4,"(2,697)",Nizampura,"J K Avenue, Opposite Axis Bank, Nizampura Main Road, Nizampura, Vadodara",₹500,"11am – 3:30pm, 6pm – 11:30pm (Mon-Sun)"
New Alka Restaurant,"North Indian, South Indian, Chinese, Beverages",3.8,(215),4.1,"(7,050)",Diwalipura,"Vraj Square, Manisha Circle, Old Padra Road, Diwalipura, Vadodara",₹800,9am – 11pm (Mon-Sun)
Nimantran Restaurant,"North Indian, Gujarati",3.9,(167),3.9,"(7,775)",Tarsali,"Susen Tarsali Ring Road, Tarsali, Vadodara",₹500,"11am – 3pm, 7pm – 11pm (Mon-Sun)"
Starbucks Coffee,"Cafe, Coffee, Tea, Beverages, Desserts",4.1,(214),4.3,(145),Alkapuri,"Center Square Mall, Sayaji Path, Near Genda Circle, Alkapuri, Vadodara",₹700,8am – 11pm (Mon-Sun)
Cafe Madras,"South Indian, North Indian",3.8,(127),3.6,"(1,320)",Sayajigunj,"Station Road, Sayajigunj, Vadodara",₹200,"8:30am – 10:30pm (Mon, Wed, Thu, Fri, Sat, Sun)..."
Famous Neelkanth Juice,Beverages,3.6,(90),4.1,"(5,829)",Alkapuri,"E-9, Kashivishweshwar Township Complex, Jetalpur Road, Alkapuri, Vadodara",₹100,10:30am – 12:30am (Mon-Sun)
Hotel Sudha,South Indian,4.2,(203),4.4,"(4,051)",Subhanpura,"Opp Ellora Milk Center, Subhanpura Main Road, Ellora Park, Subhanpura, Vadodara",₹150,"8am – 3pm, 6pm – 11pm (Mon-Sun)"
US Pizza,"Pizza, Fast Food",3.9,(166),3.6,"(4,199)",Kendranagar,"4A, Ground Floor, Dhananjay Complex, Gajanan Park, Waghodia Road, Uma Char Rasta, Kendranagar, Vadodara",₹500,11am – 11pm (Mon-Sun)
Apna Punjab,North Indian,4.0,(168),4.3,"(2,110)",Karelibaug,"B - 23, B H Complex, Karelibaug Road, Near Utkarsh Petrol Pump, Jay Santhoshi Nagar, Karelibaug, Vadodara",₹500,"11am – 3pm, 5pm – 11pm (Mon-Sun)"
The Food Express,North Indian,3.6,(123),3.7,"(3,135)",Sayajipura,"8, Silver Point, Ajwa Road, Opposite IOCL Petrol Pump, Sayajipura, Vadodara",₹800,"11:30am – 3pm, 6:30pm – 11:30pm (Mon-Sun)"
Aangan Restaurant,"Chinese, North Indian",3.9,(133),4.1,"(1,768)",Fatehgunj,"1-Basement, R K Centre, Fatehgunj Main Road, Opposite Saffron Tower, Fatehgunj, Vadodara",₹600,"11am – 3pm, 7pm – 10pm (Mon-Sun)"
